x,y
-0.527,0.068
-0.517,0.061
-0.524,0.069
-0.507,0.062
-0.516,0.064
-0.49,0.067
-0.517,0.06
-0.523,0.071
-0.502,0.085
-0.507,0.066
-0.492,0.078
-0.52,0.092
-0.521,0.08
-0.478,0.056
-0.479,0.072
-0.509,0.063
-0.511,0.039
-0.531,0.078
-0.49,0.046
-0.497,0.064
-0.495,0.06
-0.5,0.068
-0.52,0.08
-0.514,0.065
-0.509,0.052
-0.529,0.071
-0.529,0.059
-0.526,0.072
-0.505,0.043
-0.529,0.089
-0.514,0.068
-0.523,0.091
-0.509,0.057
-0.512,0.078
-0.495,0.039
-0.529,0.068
-0.488,0.061
-0.483,0.088
-0.506,0.064
-0.506,0.072
-0.512,0.055
-0.509,0.063
-0.524,0.057
-0.51,0.04
-0.473,0.039
-0.518,0.061
-0.506,0.072
-0.524,0.067
-0.514,0.084
-0.524,0.078
