x,y
-0.19,0.161
-0.103,0.197
-0.1,0.24
-0.099,0.215
-0.106,0.207
-0.088,0.208
-0.173,0.192
-0.098,0.064
-0.146,0.124
-0.178,0.094
-0.172,0.097
-0.161,0.093
-0.153,0.105
-0.15,0.107
-0.185,0.122
-0.162,0.102
-0.198,0.09
-0.164,0.1
-0.164,0.119
-0.164,0.114
-0.136,0.081
-0.168,0.125
-0.204,0.096
-0.054,0.073
-0.155,0.092
-0.143,0.065
-0.139,0.115
-0.191,0.092
-0.169,0.088
-0.165,0.107
-0.105,0.057
-0.156,0.115
-0.165,0.122
-0.178,0.105
-0.155,0.087
-0.166,0.129
-0.299,-0.034
